date,price_first_auction,price_second_auction,auction_price_spread,auction_spread_dir,y_proba,trade_signal,trade,position_size,profit,profit_pct,cumulative_profit
2022-07-21 11:00:00,316.4,285.55,-30.84999999999997,0,0.4343663744162646,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 12:00:00,319.1,292.01,-27.090000000000032,0,0.45838305069974394,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 13:00:00,324.85,290.01,-34.84000000000003,0,0.42664076609421864,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 14:00:00,331.55,282.67,-48.879999999999995,0,0.4179134873300213,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 15:00:00,333.6,282.32,-51.28000000000003,0,0.3766810641018252,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 16:00:00,395.9,320.03,-75.87,0,0.35318027832659443,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 17:00:00,425.0,337.96,-87.04000000000002,0,0.39127835168462066,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 18:00:00,501.0,402.54,-98.45999999999998,0,0.35190913407559066,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 19:00:00,500.0,399.96,-100.04000000000002,0,0.30544247877915476,short,short,4.824101502844449,477.60311434455883,19.80070751259891,1020.5615935688488
2022-07-21 20:00:00,499.0,371.59,-127.41000000000004,0,0.3550336295180406,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-21 21:00:00,443.5,399.97,-43.52999999999997,0,0.35286557687534176,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-21 22:00:00,370.1,322.65,-47.450000000000045,0,0.3643783421202262,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-21 23:00:00,256.0,242.43,-13.569999999999991,0,0.3279327825366711,hold,hold,0.0,0.0,,1020.5615935688488
2022-07-22 00:00:00,226.3,221.95,-4.350000000000023,0,0.45728010499134775,hold,hold,0.0,0.0,,1020.5615935688488
